symbol,name,note
JP.7011,三菱重工業,防衛・造船・航空 総合重工
JP.7012,川崎重工業,防衛・造船・航空エンジン
JP.7013,IHI,防衛・航空エンジン
JP.7003,三井E&S,船舶・舶用エンジン
JP.7014,名村造船所,造船
JP.7018,内海造船,造船
JP.6503,三菱電機,防衛エレクトロニクス
JP.6701,日本電気NEC,防衛エレクトロニクス・レーダー
JP.6703,沖電気工業,防衛通信
JP.7721,東京計器,防衛計器・ジャイロ
JP.6203,豊和工業,小火器
JP.6208,石川製作所,機雷・防衛
JP.4274,細谷火工,火工品・弾薬
JP.7980,重松製作所,防護マスク
